text	count
e.g. a hide	1
material for chinking, filling seams in boat planks	1
e.g. yarn, thread	1
while being carried on that one's back	1
e.g. in sweat-lodge	1
e.g in sweat-lodge	1
The water	1
e.g. a pail	1
to dry	1
for pelts	1
e.g. an animal in processing pelts	1
as a building	1
e.g. head of an animal	1
a low overpass over the road	1
as a garment	1
as a rip in his/her own clothes	1
in brine	1
e.g. twine, rope	1
as wood-lumber	1
As a chair.	1
e.g. machine, medicine	1
as action	1
i.e. rope	1
i.e. rock or metal	1
i.e. tall tree	1
i.e. long pole	1
e.g. highway	1
e.g. velvet	1
from a trap	1
e.g. a goose from the oven	1
by the snow	1
to touch	1
to the touch	1
e.g. liquid	1
political	1
e.g. lock of hair	1
E.g. bales.	1
e.g. to a sleigh	1
e.g. braid	1
of horses	1
e.g. jewellry	1
as an ingredient	1
with head bowed	1
e.g. as a Thunderbird	1
as a doctor with a patient	1
as a deadfall	1
under a tree	1
using buffalo grass	1
e.g. a blanket	1
e.g. wing	1
as a line	1
e.g. t.v., radio, etc.	1
in a defined area	1
in the family	1
in an undefined area	1
Over farther.	1
Usually heard as tapihtaw, where the it sound is silent.	1
e.g. needle	1
e.g. bead	1
guy, girl	1
e.g. prophecy	1
generally about personality	1
e.g. bone needle	1
lumber	1
at the seams	1
in front	1
throwing a lance	1
a horse	1
on water	1
such as thread	1
e.g. coat	1
if any	1
train, whistling	1
for people	1
to hide	1
e.g. snow, ice, tree, hibernating animal	1
i.e. which folds down	1
lying down	1
e.g. a pig	1
e.g. reserve	1
e.g. work	1
before s/he can reach his/her destination	1
smoky fire, often of sage-brush, made to to protect cattle from insects	1
e.g. the spiral loops around the vamp of a moccasin	1
after infusion	1
not done purposely	1
e.g. a car	1
not intentionally	1
E.g. The ground.	1
by pulling the wrong string	1
to death	1
from illness	1
from people	1
by taking the wrong path	1
helps him up	1
Helps him up.	1
from lying	1
at forehead	1
e.g. so as to awaken	1
by shaking, nudging	1
By shaking, nudging	1
the surface	1
i.e. using snowshoes	1
as a branch	1
made of hide trimmings	1
from actions	1
i.e. it serves him/her right	1
e.g. a crated animal	1
e.g. of the bush	1
E.g. A tooth being pulled out.	1
of a bag or box	1
e.g. of a house, lodge	1
e.g. of a burrow	1
e.g. wind	1
i.e. a fish	1
as a road or river with curves	1
i.e. metal object	1
e.g. skin	1
as a hawk	1
e.g. lodges	1
e.g. the inside of building	1
as a road	1
e.g. a treadle	1
e.g. a lake	1
e.g. lamp	1
e.g. drapes, blinds	1
e.g. wedding-ring	1
e.g. treadle	1
e.g. moose, deer	1
with the hand	1
as a river or road	1
s.t. into	1
e.g. pond	1
e.g. a snake	1
i.e. moon	1
Animate. As the moon.	1
in the land	1
e.g. boomerang	1
e.g. hunting	1
the floor	1
The floor	1
which was written down on paper	1
e.g. a flag	1
e.g. money in a card game	1
As a ball.	1
parcels	1
Parcels	1
in a blanket	1
on a swing	1
On a swing	1
e.g. in a rocker	1
e.g. beaver pelt	1
E.g. Sets the table.	1
e.g. spam	1
an image of him	1
An image of him	1
as a whole carcass	1
e.g. mica	1
e.g. a figure in a picture book	1
temporally	1
in burning	1
e.g. crow	1
i.e. incense	1
e.g. medicinal herbs	1
of a tight spot	1
e.g. a couple	1
Animate food.	1
i.e. outside	1
from it	1
e.g. animate food	1
smoky	1
beaver or muskrat	1
e.g chicken	1
in marriage	1
by air, land or water	1
e.g. muskeg, uneven ground	1
dirty	1
as a covered pail	1
